"InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country"
"554697","21166","COOK WITH WINE METAL SIGN ",1,"5/25/2011 17:31",2.08,14584,"United Kingdom"
"561038","82482","WOODEN PICTURE FRAME WHITE FINISH",2,"7/24/2011 11:58",2.55,17114,"United Kingdom"
"560552","23192","BUNDLE OF 3 ALPHABET EXERCISE BOOKS",1,"7/19/2011 12:54",1.65,15311,"United Kingdom"
"559884","85183B","CHARLIE & LOLA WASTEPAPER BIN FLORA",12,"7/13/2011 11:34",1.25,16843,"United Kingdom"
"544450","21789","KIDS RAIN MAC PINK",3,"2/20/2011 12:23",0.85,17811,"United Kingdom"
"571046","23295","SET OF 12 MINI LOAF BAKING CASES",3,"10/13/2011 13:35",0.83,18096,"United Kingdom"
"537604","37446","MINI CAKE STAND WITH HANGING CAKES",8,"12/7/2010 13:01",1.45,13488,"United Kingdom"
"565200","23266","SET OF 3 WOODEN STOCKING DECORATION",1,"9/1/2011 16:30",1.25,17576,"United Kingdom"
"564167","85099F","JUMBO BAG STRAWBERRY",10,"8/23/2011 13:50",2.08,17735,"United Kingdom"
"562888","22485","SET OF 2 WOODEN MARKET CRATES",2,"8/10/2011 11:58",12.75,14388,"United Kingdom"
"570503","21892","TRADITIONAL WOODEN CATCH CUP GAME ",4,"10/11/2011 9:26",1.25,17965,"United Kingdom"
"551983","22485","SET OF 2 WOODEN MARKET CRATES",2,"5/5/2011 14:32",12.75,17735,"United Kingdom"
"580958","23332","IVORY WICKER HEART LARGE",6,"12/6/2011 14:30",1.65,17266,"United Kingdom"
"580727","22460","EMBOSSED GLASS TEALIGHT HOLDER",13,"12/5/2011 17:17",2.46,14096,"United Kingdom"
"547891","22383","LUNCH BAG SUKI DESIGN ",10,"3/28/2011 10:14",1.65,13266,"United Kingdom"
"545978","22560","TRADITIONAL MODELLING CLAY",3,"3/8/2011 12:19",1.25,13975,"United Kingdom"
"555127","22817","CARD SUKI BIRTHDAY",12,"5/31/2011 15:30",0.42,15241,"United Kingdom"
"569640","23197","SKETCHBOOK MAGNETIC SHOPPING LIST",36,"10/5/2011 12:25",1.45,12471,"Germany"
"553198","22544","MINI JIGSAW SPACEBOY",12,"5/15/2011 14:48",0.42,13752,"United Kingdom"
"565563","20982","12 PENCILS TALL TUBE SKULLS",1,"9/5/2011 12:18",0.85,14177,"United Kingdom"
"573909","23296","SET OF 6 TEA TIME BAKING CASES",1,"11/1/2011 15:26",1.25,17813,"United Kingdom"
"543631","21500","PINK POLKADOT WRAP ",25,"2/10/2011 16:17",0.42,14081,"United Kingdom"
"548870","21188","3D HEARTS  HONEYCOMB PAPER GARLAND",4,"4/4/2011 14:41",2.95,14606,"United Kingdom"
"545996","21679","SKULLS  STICKERS",1,"3/8/2011 14:12",0.85,14367,"United Kingdom"
"561616","23338","EGG FRYING PAN RED ",2,"7/28/2011 13:02",2.08,15023,"United Kingdom"
"545681","22178","VICTORIAN GLASS HANGING T-LIGHT",12,"3/6/2011 11:28",1.25,16923,"United Kingdom"
"546920","22326","ROUND SNACK BOXES SET OF4 WOODLAND ",6,"3/18/2011 9:55",2.95,12471,"Germany"
"564733","82001S","VINYL RECORD FRAME SILVER",1,"8/28/2011 13:18",3.75,17841,"United Kingdom"
"545690","22079","RIBBON REEL HEARTS DESIGN ",1,"3/6/2011 12:46",1.65,13263,"United Kingdom"
"561875","23311","VINTAGE CHRISTMAS STOCKING ",24,"7/31/2011 12:05",2.55,14885,"United Kingdom"
"537888","22454","MEASURING TAPE BABUSHKA RED",6,"12/9/2010 10:04",2.95,15358,"United Kingdom"
"554816","23101","SILVER STARS TABLE DECORATION",3,"5/26/2011 14:01",0.83,17550,"United Kingdom"
"544700","22138","BAKING SET 9 PIECE RETROSPOT ",2,"2/23/2011 10:10",4.95,18041,"United Kingdom"
"572741","23320","GIANT 50'S CHRISTMAS CRACKER",12,"10/25/2011 15:47",2.89,14341,"United Kingdom"
"568062","85015","SET OF 12  VINTAGE POSTCARD SET",24,"9/23/2011 13:18",0.65,14014,"United Kingdom"
"559109","22844","VINTAGE CREAM DOG FOOD CONTAINER",1,"7/6/2011 11:52",8.5,15021,"United Kingdom"
"543354","21916","SET 12 RETRO WHITE CHALK STICKS",24,"2/7/2011 13:50",0.42,13458,"United Kingdom"
"576062","23205","CHARLOTTE BAG VINTAGE ALPHABET ",5,"11/13/2011 15:30",0.85,12867,"United Kingdom"
"562371","23202","JUMBO BAG VINTAGE LEAF",10,"8/4/2011 14:30",2.08,13709,"United Kingdom"
"568492","22727","ALARM CLOCK BAKELIKE RED ",4,"9/27/2011 11:58",3.75,18278,"United Kingdom"
"549245","20728","LUNCH BAG CARS BLUE",2,"4/7/2011 11:59",1.65,15005,"United Kingdom"
"577010","23159","SET OF 5 PANCAKE DAY MAGNETS",1,"11/17/2011 12:11",2.08,15506,"United Kingdom"
"577772","21210","SET OF 72 RETROSPOT PAPER  DOILIES",24,"11/21/2011 15:53",1.45,18139,"United Kingdom"
"543911","48138","DOORMAT UNION FLAG",2,"2/14/2011 12:46",7.95,17829,"United Arab Emirates"
"579472","23326","HANGING MINI COLOURED BOTTLES",4,"11/29/2011 15:09",0.63,13521,"United Kingdom"
"568564","21926","RED/CREAM STRIPE CUSHION COVER ",4,"9/27/2011 17:03",1.25,17576,"United Kingdom"
"570103","23196","VINTAGE LEAF MAGNETIC NOTEPAD",2,"10/7/2011 12:18",1.45,15719,"United Kingdom"
"557935","21755","LOVE BUILDING BLOCK WORD",6,"6/23/2011 15:26",5.95,13929,"United Kingdom"
"574726","22620","4 TRADITIONAL SPINNING TOPS",1,"11/6/2011 14:56",1.45,14664,"United Kingdom"
"542407","21673","WHITE SPOT BLUE CERAMIC DRAWER KNOB",12,"1/27/2011 16:17",1.25,15601,"United Kingdom"
"552852","22979","PANTRY WASHING UP BRUSH",6,"5/11/2011 15:08",1.45,16712,"United Kingdom"
"539728","22139","RETROSPOT TEA SET CERAMIC 11 PC ",3,"12/21/2010 14:26",4.95,16270,"United Kingdom"
"559202","21078","SET/20 STRAWBERRY PAPER NAPKINS ",12,"7/7/2011 10:40",0.85,13583,"United Kingdom"
"555739","23256","CHILDRENS CUTLERY SPACEBOY ",4,"6/7/2011 9:49",4.15,12380,"Belgium"
"566234","21166","COOK WITH WINE METAL SIGN ",2,"9/11/2011 11:08",2.08,15035,"United Kingdom"
"569524","48188","DOORMAT WELCOME PUPPIES",2,"10/4/2011 14:42",8.25,14506,"United Kingdom"
"537236","21531","RED RETROSPOT SUGAR JAM BOWL",24,"12/6/2010 9:52",2.1,16858,"United Kingdom"
"543293","71459","HANGING JAM JAR T-LIGHT HOLDER",12,"2/7/2011 11:20",0.85,17613,"United Kingdom"
"547822","22982","PANTRY PASTRY BRUSH",12,"3/25/2011 14:53",1.25,12668,"Germany"
"580774","22697","GREEN REGENCY TEACUP AND SAUCER",6,"12/6/2011 11:05",2.95,13994,"United Kingdom"
"541489","85064","CREAM SWEETHEART LETTER RACK",2,"1/18/2011 13:38",5.45,15023,"United Kingdom"
"581412","23255","CHILDRENS CUTLERY CIRCUS PARADE",3,"12/8/2011 14:38",4.15,14415,"United Kingdom"
"574719","21136","PAINTED METAL PEARS ASSORTED",16,"11/6/2011 14:38",1.69,14511,"United Kingdom"
"565838","47566","PARTY BUNTING",4,"9/7/2011 11:43",4.95,15071,"United Kingdom"
"547716","22084","PAPER CHAIN KIT EMPIRE",15,"3/25/2011 8:52",2.95,16833,"United Kingdom"
"555648","22624","IVORY KITCHEN SCALES",1,"6/6/2011 13:46",8.5,14623,"United Kingdom"
"549679","22772","PINK DRAWER KNOB ACRYLIC EDWARDIAN",12,"4/11/2011 12:59",1.25,16407,"United Kingdom"
"562393","23154","SET OF 4 JAM JAR MAGNETS",24,"8/4/2011 16:17",2.08,18172,"United Kingdom"
"547240","21983","PACK OF 12 BLUE PAISLEY TISSUES ",2,"3/21/2011 16:32",0.29,17585,"United Kingdom"
"566913","21698","MOCK LOBSTER FRIDGE MAGNET",4,"9/15/2011 14:07",0.39,17602,"United Kingdom"
"551291","22064","PINK DOUGHNUT TRINKET POT ",12,"4/27/2011 14:26",1.45,14298,"United Kingdom"
"574476","21623","VINTAGE UNION JACK MEMOBOARD",2,"11/4/2011 12:20",9.95,17203,"United Kingdom"
"562592","23192","BUNDLE OF 3 ALPHABET EXERCISE BOOKS",12,"8/7/2011 15:43",1.65,13418,"United Kingdom"
"566987","22556","PLASTERS IN TIN CIRCUS PARADE ",36,"9/16/2011 10:56",1.65,12476,"Germany"
"572050","23069","EDWARDIAN PHOTO FRAME",2,"10/20/2011 12:23",6.25,17346,"United Kingdom"
"567675","20755","BLUE PAISLEY POCKET BOOK",1,"9/21/2011 15:54",0.85,15351,"United Kingdom"
"551734","22587","FELTCRAFT HAIRBAND RED AND BLUE",12,"5/4/2011 10:15",0.85,18178,"United Kingdom"
"551283","22781","GUMBALL MAGAZINE RACK",2,"4/27/2011 14:01",7.65,16755,"United Kingdom"
"559418","23317","BLUE REFECTORY CLOCK ",2,"7/8/2011 11:36",9.95,12681,"France"
"562539","22900","SET 2 TEA TOWELS I LOVE LONDON ",4,"8/5/2011 15:30",3.25,17220,"United Kingdom"
"548388","21721","CANDY SHOP  STICKER SHEET",2,"3/30/2011 16:52",0.85,13268,"United Kingdom"
"572741","22086","PAPER CHAIN KIT 50'S CHRISTMAS ",6,"10/25/2011 15:47",2.95,14341,"United Kingdom"
"564300","23203","JUMBO BAG VINTAGE DOILY ",5,"8/24/2011 11:31",2.08,16723,"United Kingdom"
"567618","21915","RED  HARMONICA IN BOX ",12,"9/21/2011 12:26",1.25,12721,"France"
"571049","71477","COLOUR GLASS. STAR T-LIGHT HOLDER",4,"10/13/2011 13:43",3.95,16670,"United Kingdom"
"544893","22637","PIGGY BANK RETROSPOT ",4,"2/24/2011 12:01",2.55,17865,"United Kingdom"
"572682","22801","ANTIQUE GLASS PEDESTAL BOWL",1,"10/25/2011 13:52",3.75,17928,"United Kingdom"
"578936","23076","ICE CREAM SUNDAE LIP GLOSS",2,"11/27/2011 13:00",1.25,16923,"United Kingdom"
"566581","23265","SET OF 3 WOODEN TREE DECORATIONS",6,"9/13/2011 13:47",1.25,16081,"United Kingdom"
"577857","21822","GLITTER CHRISTMAS TREE WITH BELLS",36,"11/22/2011 11:21",0.79,13499,"United Kingdom"
"546732","22331","WOODLAND PARTY BAG + STICKER SET",1,"3/16/2011 11:41",1.65,14606,"United Kingdom"
"537619","84970L","SINGLE HEART ZINC T-LIGHT HOLDER",12,"12/7/2010 13:53",0.95,13786,"United Kingdom"
"560547","47566","PARTY BUNTING",16,"7/19/2011 12:39",4.95,17419,"United Kingdom"
"542836","22197","SMALL POPCORN HOLDER",6,"2/1/2011 11:31",0.85,16745,"United Kingdom"
"541948","22079","RIBBON REEL HEARTS DESIGN ",5,"1/24/2011 12:00",1.65,15820,"United Kingdom"
"568046","23263","SET OF 3 WOODEN HEART DECORATIONS",1,"9/23/2011 12:16",1.25,18118,"United Kingdom"
"578140","47591D","PINK FAIRY CAKE CHILDRENS APRON",50,"11/23/2011 10:58",1.65,14646,"Netherlands"
"553186","82551","LAUNDRY 15C METAL SIGN",12,"5/15/2011 12:46",1.45,13183,"United Kingdom"
"573345","47504K","ENGLISH ROSE GARDEN SECATEURS",3,"10/30/2011 12:14",0.79,17609,"United Kingdom"
"578517","22578","WOODEN STAR CHRISTMAS SCANDINAVIAN",48,"11/24/2011 13:53",0.29,16523,"United Kingdom"
"578835","22749","FELTCRAFT PRINCESS CHARLOTTE DOLL",4,"11/25/2011 15:44",3.75,12682,"France"
"537738","22423","REGENCY CAKESTAND 3 TIER",2,"12/8/2010 11:02",12.75,17706,"United Kingdom"
"568186","22797","CHEST OF DRAWERS GINGHAM HEART ",1,"9/25/2011 14:08",16.95,17837,"United Kingdom"
"554009","22963","JAM JAR WITH GREEN LID",12,"5/20/2011 12:38",0.85,12935,"United Kingdom"
